,UBS.TOTAL.LEVEL.NONE.A.1@UBS,UBS.CASH.ACTUALALLOCATION.NONE.A.1@UBS,UBS.DOMESTICEQUITYSECURITIES.ACTUALALLOCATION.NONE.A.1@UBS,UBS.FOREIGNEQUITYSECURITIES.ACTUALALLOCATION.NONE.A.1@UBS,UBS.NONINVESTDOMESTICBONDS.ACTUALALLOCATION.NONE.A.1@UBS,UBS.NONINVESTFOREIGNBONDSRATED.ACTUALALLOCATION.NONE.A.1@UBS,UBS.DOMESTICREALESTATE.ACTUALALLOCATION.NONE.A.1@UBS,UBS.FOREIGNREALESTATE.ACTUALALLOCATION.NONE.A.1@UBS,UBS.DOMESTICEQUITIES.ACTUALALLOCATION.NONE.A.1@UBS,UBS.FOREIGNEQUITIES.ACTUALALLOCATION.NONE.A.1@UBS,UBS.DOMESTICBONDS.ACTUALALLOCATION.NONE.A.1@UBS,UBS.DOMESTICBONDSJUNK.ACTUALALLOCATION.NONE.A.1@UBS,UBS.FOREIGNBONDSRATED.ACTUALALLOCATION.NONE.A.1@UBS,UBS.FOREIGNBONDSJUNK.ACTUALALLOCATION.NONE.A.1@UBS,UBS.DOMESTICREALESTATEINVESTMENTS.ACTUALALLOCATION.NONE.A.1@UBS,UBS.FOREIGNREALESTATEINVESTMENTS.ACTUALALLOCATION.NONE.A.1@UBS,UBS.OTHER.ACTUALALLOCATION.INDIRECT.A.1@UBS,UBS.OTHERINVESTMENTS.ACTUALALLOCATION.NONE.A.1@UBS,UBS.BONDS.ACTUALALLOCATION.NONE.A.1@UBS,UBS.EQUITIES.ACTUALALLOCATION.NONE.A.1@UBS,UBS.REALESTATE.ACTUALALLOCATION.NONE.A.1@UBS
,"Post-employment benefit plans, Total fair value of plan asset","Post-employment benefit plans, Actual Allocation, Cash and cash equivalents","Post-employment benefit plans, Actual Allocation, Equity securities, Domestic","Post-employment benefit plans, Actual Allocation, Equity securities, Foreign","Post-employment benefit plans, Actual Allocation, Non investment fund Domestic, AAA to BBB–","Post-employment benefit plans, Actual Allocation, Non investment fund Foreign, AAA to BBB–","Post-employment benefit plans, Actual Allocation, Real estate / property, Domestic","Post-employment benefit plans, Actual Allocation, Real estate / property, Foreign","Post-employment benefit plans, Actual Allocation, Equity, Domestic","Post-employment benefit plans, Actual Allocation, Equity, Foreign","Post-employment benefit plans, Actual Allocation, Bonds, Domestic, AAA to BBB–","Post-employment benefit plans, Actual Allocation, Bonds, Domestic, below BBB–","Post-employment benefit plans, Actual Allocation, Bonds, Foreign, AAA to BBB–","Post-employment benefit plans, Actual Allocation, Bonds, Foreign, below BBB–","Post-employment benefit plans, Actual Allocation, Domestic Real estate Investments","Post-employment benefit plans, Actual Allocation, Foreign Real estate Investments","Post-employment benefit plans, Actual Allocation, Other","Post-employment benefit plans, Actual Allocation, Other Investments","Post-employment benefit plans, Actual Allocation, Bonds","Post-employment benefit plans, Actual Allocation, Equity","Post-employment benefit plans, Actual Allocation, Real estate / property"
2023,"54,404",2,0,4,0,0,11,2,3,19,15,0,25,2,4,1,10,2,0,4,13
2024,52241,2,0,3,0,0,11,2,2,20,13,0,25,3,4,1,9,4,0,3,13
